applicant_id,age,gender,state,employment_type,monthly_income,credit_score,loan_purpose,loan_amount,tenure_months,interest_rate,emi,existing_loans,num_dependents,application_date,debt_to_income,default_flag
APP103386,33,Male,Tamil Nadu,Business Owner,34700.0,777,Personal,264000.0,36,11.5,8706.0,1,0,2024-09-23,0.5,0
APP103950,33,Male,Gujarat,Salaried,34100.0,684,Education,20000.0,24,13.37,954.0,1,1,2024-03-29,0.06,0
APP101845,35,Male,Maharashtra,Salaried,77200.0,632,Vehicle,215000.0,12,13.04,19207.0,1,2,2024-10-28,0.5,1
APP102773,24,Female,Uttar Pradesh,Salaried,51500.0,851,Personal,306000.0,48,11.94,8049.0,1,1,2024-10-18,0.31,0
APP100194,53,Male,West Bengal,Business Owner,70000.0,633,Personal,195000.0,36,12.88,6559.0,3,2,2025-07-06,0.37,0
APP105557,55,Male,Tamil Nadu,Self-Employed,30100.0,542,Vehicle,488000.0,36,14.56,16812.0,4,0,2025-06-06,2.79,0
APP105367,59,Male,Delhi,Business Owner,77200.0,629,Vehicle,366000.0,36,12.85,12306.0,1,1,2025-10-04,0.32,0
APP102307,39,Male,Gujarat,Business Owner,22800.0,675,Personal,188000.0,12,12.96,16788.0,0,2,2025-11-12,0.74,0
APP100305,44,Male,Maharashtra,Salaried,58000.0,699,Medical,301000.0,48,14.07,8236.0,3,1,2025-02-02,0.57,0
APP103159,43,Female,Uttar Pradesh,Salaried,30300.0,537,Home Renovation,189000.0,24,14.9,9155.0,1,0,2025-09-22,0.6,0
APP102101,43,Male,Tamil Nadu,Salaried,65700.0,559,Business Expansion,378000.0,60,14.18,8831.0,0,1,2024-09-14,0.13,0
APP104806,32,Male,Uttar Pradesh,Salaried,43900.0,790,Business Expansion,297000.0,36,10.43,9643.0,1,3,2025-09-15,0.44,0
APP104887,36,Male,Rajasthan,Salaried,47100.0,708,Personal,282000.0,36,13.07,9511.0,1,0,2024-01-10,0.4,0
APP105448,39,Male,Uttar Pradesh,Self-Employed,12000.0,498,Business Expansion,338000.0,48,15.14,9431.0,0,3,2024-11-10,0.79,1
APP101837,26,Female,Karnataka,Business Owner,40600.0,579,Personal,345000.0,36,13.35,11683.0,3,0,2024-04-26,1.15,0
APP104296,42,Male,Delhi,Self-Employed,42500.0,616,Business Expansion,551000.0,12,13.45,49330.0,1,2,2024-07-27,2.32,1
APP105267,48,Female,Maharashtra,Business Owner,57300.0,651,Personal,90000.0,36,14.89,3115.0,2,1,2025-07-09,0.16,0
APP101457,43,Female,Tamil Nadu,Self-Employed,17800.0,857,Personal,224000.0,24,9.8,10316.0,2,1,2024-04-05,1.74,0
APP101646,26,Female,Uttar Pradesh,Self-Employed,28400.0,762,Personal,294000.0,48,11.41,7657.0,1,0,2025-05-07,0.54,0
APP103648,51,Male,Delhi,Business Owner,73800.0,541,Medical,306000.0,24,13.19,14575.0,1,0,2024-05-06,0.39,0
APP101444,49,Male,Punjab,Business Owner,120900.0,740,Medical,20000.0,12,11.07,1768.0,1,0,2024-05-18,0.03,0
APP103006,39,Male,Karnataka,Business Owner,30400.0,702,Personal,43000.0,60,11.86,953.0,1,0,2024-05-09,0.06,0
APP101925,30,Male,Delhi,Salaried,22400.0,585,Personal,101000.0,60,13.24,2310.0,2,2,2025-11-19,0.31,0
APP104319,37,Male,West Bengal,Salaried,29700.0,603,Education,481000.0,48,13.87,13113.0,0,1,2025-03-27,0.44,1
APP100276,50,Male,West Bengal,Self-Employed,59000.0,418,Home Renovation,540000.0,24,16.53,26577.0,0,1,2024-01-11,0.45,1
APP100893,52,Male,Rajasthan,Salaried,51300.0,711,Personal,328000.0,12,13.82,29422.0,1,1,2025-09-03,1.15,0
APP105156,43,Female,Gujarat,Salaried,63300.0,755,Education,20000.0,12,12.33,1780.0,0,3,2025-10-25,0.03,0
APP104398,53,Female,Tamil Nadu,Self-Employed,36700.0,588,Education,229000.0,48,14.08,6267.0,1,1,2025-07-10,0.34,1
APP104803,56,Male,Karnataka,Self-Employed,39400.0,900,Education,323000.0,36,10.46,10492.0,1,1,2024-09-12,0.53,0
APP104097,40,Male,Maharashtra,Self-Employed,21900.0,546,Education,443000.0,36,15.19,15398.0,1,2,2025-10-22,1.41,1
APP104059,30,Female,Tamil Nadu,Salaried,54000.0,767,Vehicle,127000.0,36,12.86,4271.0,1,1,2025-12-10,0.16,1
APP102747,29,Male,Gujarat,Salaried,62700.0,604,Education,20000.0,48,13.4,541.0,2,3,2024-10-24,0.03,0
APP104436,43,Male,Karnataka,Business Owner,86300.0,605,Medical,215000.0,48,14.4,5918.0,1,0,2025-03-18,0.14,0
APP104752,45,Male,Maharashtra,Salaried,12000.0,789,Education,389000.0,36,11.17,12767.0,2,1,2024-05-12,3.19,1
APP103957,33,Male,Telangana,Salaried,51600.0,794,Business Expansion,509000.0,24,10.32,23563.0,1,1,2024-10-03,0.91,0
APP105124,36,Female,Tamil Nadu,Salaried,51000.0,748,Personal,291000.0,48,12.36,7715.0,0,0,2024-06-30,0.15,1
APP102413,23,Female,West Bengal,Business Owner,29100.0,611,Vehicle,243000.0,24,14.1,11679.0,2,1,2025-10-18,1.2,1
APP102701,46,Female,Karnataka,Business Owner,66700.0,677,Personal,354000.0,12,13.77,31746.0,0,0,2024-03-13,0.48,0
APP105114,31,Male,Punjab,Salaried,51600.0,585,Home Renovation,269000.0,84,15.1,5206.0,1,0,2025-01-18,0.2,0
APP103572,51,Female,Uttar Pradesh,Salaried,40800.0,573,Personal,377000.0,12,16.11,34225.0,1,0,2024-04-24,1.68,1
APP100500,59,Male,Rajasthan,Salaried,51000.0,777,Vehicle,196000.0,48,12.33,5193.0,1,1,2025-10-02,0.2,0
APP104904,21,Male,Gujarat,Salaried,60900.0,687,Medical,375000.0,36,13.58,12740.0,1,1,2024-07-10,0.42,0
APP103401,26,Male,Telangana,Salaried,44900.0,569,Medical,597000.0,24,12.8,28326.0,0,1,2025-07-18,0.63,1
APP102036,35,Male,Uttar Pradesh,Salaried,53400.0,619,Personal,21000.0,24,13.63,1005.0,1,2,2025-06-18,0.04,1
APP105457,36,Male,Karnataka,Self-Employed,42000.0,690,Home Renovation,445000.0,48,13.61,12073.0,0,5,2025-11-10,0.29,0
APP101985,51,Female,Tamil Nadu,Salaried,39700.0,809,Business Expansion,20000.0,12,11.49,1772.0,0,2,2024-07-27,0.04,0
APP105620,43,Male,Delhi,Business Owner,73000.0,621,Vehicle,20000.0,60,11.63,441.0,1,0,2025-04-17,0.01,0
APP101729,45,Female,Telangana,Salaried,27800.0,736,Personal,233000.0,36,12.11,7751.0,0,1,2024-05-31,0.28,0
APP101390,25,Female,Tamil Nadu,Salaried,51200.0,723,Home Renovation,179000.0,48,12.31,4741.0,0,0,2025-11-03,0.09,0
APP103151,34,Male,Uttar Pradesh,Self-Employed,12000.0,791,Vehicle,40000.0,60,9.82,846.0,5,1,2024-10-03,0.42,0
APP101665,58,Female,West Bengal,Salaried,29700.0,768,Medical,113000.0,48,12.51,3004.0,2,0,2025-12-06,0.3,0
APP100915,47,Male,West Bengal,Salaried,40900.0,723,Business Expansion,483000.0,48,12.29,12788.0,0,1,2024-03-09,0.31,1
APP101895,36,Male,Gujarat,Self-Employed,28900.0,713,Home Renovation,307000.0,48,12.44,8151.0,0,0,2024-09-08,0.28,0
APP105747,26,Male,Karnataka,Salaried,50100.0,659,Medical,362000.0,24,12.62,17146.0,3,2,2024-03-07,1.37,0
APP103361,51,Female,Maharashtra,Salaried,47000.0,623,Personal,266000.0,84,13.21,4869.0,2,2,2024-03-13,0.31,0
APP101990,37,Female,Punjab,Business Owner,47700.0,628,Home Renovation,155000.0,24,13.96,7439.0,1,0,2024-11-13,0.31,0
APP103898,32,Male,Tamil Nadu,Business Owner,49600.0,677,Vehicle,210000.0,36,13.29,7105.0,2,1,2024-01-14,0.43,0
APP105645,28,Male,Gujarat,Salaried,32500.0,680,Personal,370000.0,36,13.92,12631.0,1,1,2025-09-13,0.78,0
APP102038,57,Male,Punjab,Self-Employed,34300.0,694,Home Renovation,325000.0,12,13.81,29152.0,2,1,2024-07-02,2.55,1
APP103642,39,Female,Rajasthan,Salaried,60300.0,498,Home Renovation,163000.0,84,16.15,3251.0,0,0,2025-08-18,0.05,1
APP103323,53,Male,Karnataka,Salaried,49400.0,699,Home Renovation,141000.0,24,11.03,6574.0,1,1,2025-06-02,0.27,0
APP104009,34,Female,Uttar Pradesh,Salaried,64600.0,619,Home Renovation,195000.0,12,14.33,17539.0,0,1,2025-12-14,0.27,0
APP104936,54,Male,Maharashtra,Self-Employed,33000.0,793,Personal,317000.0,36,10.74,10339.0,0,0,2024-07-29,0.31,0
APP100582,44,Male,West Bengal,Salaried,34600.0,716,Personal,76000.0,60,12.2,1698.0,1,0,2025-08-19,0.1,0
APP104808,50,Female,Uttar Pradesh,Salaried,40500.0,764,Home Renovation,303000.0,36,11.11,9936.0,1,2,2025-03-01,0.49,0
APP104842,56,Female,Maharashtra,Salaried,69600.0,844,Education,619000.0,36,10.89,20233.0,0,0,2024-04-17,0.29,0
APP101208,41,Male,Uttar Pradesh,Salaried,46300.0,665,Medical,236000.0,60,13.63,5446.0,1,1,2025-06-18,0.24,0
APP103178,37,Female,Delhi,Salaried,53500.0,738,Personal,322000.0,48,12.01,8481.0,1,0,2024-02-18,0.32,0
APP103582,37,Male,Maharashtra,Salaried,35100.0,549,Personal,419000.0,12,15.5,37917.0,1,1,2025-10-19,2.16,1
APP104387,51,Female,Uttar Pradesh,Self-Employed,18900.0,818,Business Expansion,429000.0,24,11.71,20136.0,0,2,2024-07-13,1.07,0
APP105994,40,Male,Uttar Pradesh,Self-Employed,74600.0,628,Home Renovation,330000.0,12,13.85,29606.0,1,4,2025-12-29,0.79,1
APP100407,39,Male,West Bengal,Salaried,41200.0,724,Personal,151000.0,48,11.13,3912.0,1,1,2025-11-25,0.19,0
APP105128,31,Female,Tamil Nadu,Self-Employed,38900.0,593,Vehicle,202000.0,48,14.06,5526.0,1,0,2025-02-01,0.28,0
APP104336,32,Male,Maharashtra,Self-Employed,33400.0,711,Vehicle,211000.0,12,12.33,18780.0,1,2,2025-03-15,1.12,1
APP101791,39,Male,Maharashtra,Salaried,33200.0,811,Vehicle,246000.0,60,9.39,5153.0,1,1,2025-04-12,0.31,0
APP100452,41,Male,Karnataka,Salaried,44100.0,713,Personal,20000.0,60,14.07,466.0,1,1,2024-07-11,0.02,0
APP101538,58,Female,Punjab,Salaried,84400.0,762,Personal,34000.0,12,10.23,2993.0,0,1,2024-04-01,0.04,0
APP102267,40,Male,Karnataka,Salaried,,651,Medical,243000.0,24,15.1,11794.0,2,2,2025-05-19,0.67,0
APP103354,45,Male,Uttar Pradesh,Business Owner,12000.0,851,Education,150000.0,36,10.53,4877.0,0,3,2024-07-01,0.41,0
APP100683,44,Male,Maharashtra,Self-Employed,,708,Medical,24000.0,84,13.23,440.0,2,2,2024-10-30,0.02,0
APP105719,24,Female,Gujarat,Salaried,43100.0,705,Home Renovation,32000.0,84,12.47,573.0,0,0,2025-09-07,0.01,0
APP102956,57,Male,Karnataka,Self-Employed,24200.0,869,Vehicle,318000.0,36,9.0,10112.0,1,0,2025-01-03,0.84,0
APP100948,47,Female,Punjab,Self-Employed,23300.0,497,Business Expansion,276000.0,24,14.94,13374.0,2,0,2025-04-17,1.72,1
APP102811,29,Male,Punjab,Salaried,26500.0,648,Business Expansion,206000.0,84,12.39,3680.0,0,2,2025-04-05,0.14,0
APP105302,36,Male,West Bengal,Salaried,31900.0,466,Vehicle,319000.0,84,15.88,6314.0,1,2,2025-01-29,0.4,1
APP101306,44,Female,Tamil Nadu,Self-Employed,47800.0,687,Vehicle,132000.0,60,13.23,3019.0,0,2,2024-12-08,0.06,0
APP102167,31,Female,Telangana,Salaried,44000.0,669,Vehicle,152000.0,36,14.74,5250.0,0,0,2024-10-28,0.12,0
APP100359,39,Male,Rajasthan,Self-Employed,37900.0,569,Home Renovation,358000.0,12,15.63,32419.0,1,0,2025-09-24,1.71,1
APP104284,33,Male,West Bengal,Salaried,48300.0,596,Education,554000.0,60,13.96,12879.0,0,0,2025-03-05,0.27,0
APP100056,46,Male,Gujarat,Salaried,47100.0,659,Personal,504000.0,48,12.65,13434.0,1,3,2025-08-07,0.57,0
APP102706,23,Male,Gujarat,Salaried,53000.0,662,Business Expansion,354000.0,48,13.81,9640.0,1,0,2024-05-06,0.36,0
APP101483,36,Male,Maharashtra,Self-Employed,66900.0,680,Vehicle,233000.0,60,13.85,5403.0,0,3,2024-08-20,0.08,1
APP104912,31,Male,Gujarat,Self-Employed,64000.0,582,Personal,226000.0,36,13.58,7678.0,1,0,2025-09-19,0.24,1
APP101506,28,Female,Delhi,Self-Employed,25200.0,749,Personal,207000.0,24,9.78,9531.0,1,2,2025-10-30,0.76,0
APP102593,31,Male,Uttar Pradesh,Salaried,51900.0,728,Business Expansion,285000.0,84,12.46,5101.0,0,2,2025-04-25,0.1,0
APP103730,58,Male,Uttar Pradesh,Self-Employed,21200.0,538,Personal,198000.0,36,13.6,6729.0,0,0,2024-06-06,0.32,1
APP101244,38,Male,Punjab,Self-Employed,33900.0,821,Education,232000.0,12,10.56,20457.0,1,0,2025-06-28,1.21,0
APP104926,52,Male,Tamil Nadu,Self-Employed,21700.0,592,Home Renovation,268000.0,48,14.35,7371.0,0,1,2024-03-14,0.34,0
APP101935,23,Male,Telangana,Salaried,65400.0,787,Business Expansion,189000.0,48,11.47,4928.0,2,3,2025-07-13,0.23,0
APP104830,42,Female,Maharashtra,Salaried,23300.0,638,Education,224000.0,48,13.21,6033.0,0,0,2025-01-04,0.26,0
APP105660,54,Male,Karnataka,Salaried,34300.0,900,Personal,396000.0,12,9.0,34631.0,1,1,2025-07-23,2.02,0
APP102631,48,Female,Karnataka,Salaried,49000.0,732,Personal,260000.0,60,12.52,5852.0,0,0,2025-02-11,0.12,0
APP103670,26,Male,Uttar Pradesh,Salaried,50000.0,543,Vehicle,609000.0,48,14.62,16832.0,1,2,2024-05-15,0.67,1
APP104584,48,Female,Maharashtra,Salaried,55600.0,763,Medical,42000.0,24,10.99,1957.0,1,2,2025-10-03,0.07,0
APP102950,47,Male,Tamil Nadu,Business Owner,86200.0,798,Personal,511000.0,36,10.69,16655.0,1,1,2025-09-12,0.39,0
APP105789,54,Male,Gujarat,Salaried,42900.0,674,Personal,188000.0,48,11.7,4923.0,0,1,2025-11-25,0.11,1
APP100000,59,Male,Karnataka,Salaried,59200.0,610,Education,20000.0,48,14.47,551.0,3,4,2024-04-06,0.04,0
APP100246,45,Male,Karnataka,Salaried,48600.0,729,Home Renovation,238000.0,12,12.01,21147.0,1,2,2025-09-11,0.87,1
APP104331,41,Male,Punjab,Salaried,53100.0,702,Home Renovation,86000.0,36,12.5,2877.0,1,4,2024-12-16,0.11,0
APP103415,46,Male,Rajasthan,Self-Employed,12000.0,797,Vehicle,365000.0,60,13.22,8346.0,2,0,2025-02-10,2.09,1
APP101440,42,Female,Punjab,Self-Employed,21100.0,756,Personal,298000.0,48,12.22,7880.0,3,1,2024-01-17,1.49,0
APP102955,57,Female,Gujarat,Salaried,28600.0,768,Business Expansion,307000.0,36,11.3,10094.0,0,1,2025-11-01,0.35,1
APP102013,36,Female,Maharashtra,Salaried,46200.0,668,Medical,74000.0,12,13.51,6627.0,3,1,2024-02-13,0.57,1
APP102589,39,Male,Maharashtra,Self-Employed,39100.0,847,Personal,124000.0,24,11.43,5804.0,0,1,2025-02-09,0.15,0
APP102794,47,Female,Punjab,Salaried,33900.0,678,Business Expansion,407000.0,12,12.92,36337.0,1,1,2025-10-16,2.14,1
APP100433,32,Female,Telangana,Salaried,31000.0,721,Medical,241000.0,48,12.3,6382.0,2,1,2024-01-27,0.62,1
APP100658,32,Male,Tamil Nadu,Self-Employed,12000.0,797,Education,256000.0,12,9.0,22388.0,0,1,2025-07-09,1.87,0
APP102029,43,Male,Delhi,Salaried,51400.0,621,Medical,498000.0,36,10.88,16276.0,0,1,2025-03-25,0.32,1
APP101651,41,Male,West Bengal,Self-Employed,12000.0,640,Personal,20000.0,24,13.17,952.0,3,1,2024-03-01,0.32,0
APP105546,31,Male,Gujarat,Business Owner,84000.0,823,Medical,190000.0,24,11.34,8886.0,0,0,2024-08-23,0.11,0
APP102374,24,Male,Uttar Pradesh,Self-Employed,71800.0,821,Personal,264000.0,12,11.33,23373.0,1,0,2025-12-28,0.65,0
APP103192,24,Male,Maharashtra,Business Owner,77900.0,739,Business Expansion,20000.0,60,13.94,465.0,1,1,2024-09-12,0.01,0
APP105041,28,Female,Maharashtra,Business Owner,97100.0,708,Personal,100000.0,36,12.17,3330.0,0,4,2025-09-30,0.03,0
APP102004,41,Male,Delhi,Self-Employed,52200.0,900,Business Expansion,97000.0,12,9.28,8495.0,0,0,2024-07-19,0.16,0
APP104142,55,Male,West Bengal,Salaried,34900.0,815,Personal,260000.0,36,10.04,8394.0,0,0,2025-07-24,0.24,1
APP101817,22,Female,Maharashtra,Salaried,42200.0,478,Vehicle,147000.0,48,16.68,4217.0,0,1,2024-05-26,0.1,0
APP104708,43,Male,Uttar Pradesh,Salaried,13800.0,625,Home Renovation,43000.0,48,14.84,1193.0,0,3,2024-04-02,0.09,0
APP102425,41,Male,Maharashtra,Business Owner,109600.0,659,Medical,188000.0,36,13.07,6341.0,0,1,2025-12-09,0.06,1
APP104538,43,Male,Delhi,Self-Employed,44900.0,556,Personal,248000.0,12,14.52,22328.0,1,2,2025-09-16,0.99,1
APP100892,34,Male,Maharashtra,Salaried,35000.0,771,Personal,86000.0,36,11.9,2852.0,1,0,2025-03-12,0.16,0
APP102925,49,Male,Gujarat,Salaried,37900.0,766,Business Expansion,468000.0,24,13.1,22272.0,2,1,2025-06-16,1.76,1
APP102463,40,Male,Delhi,Salaried,31600.0,530,Personal,375000.0,48,15.46,10524.0,0,5,2025-05-10,0.33,0
APP103690,34,Female,Punjab,Salaried,32400.0,686,Personal,214000.0,36,13.44,7256.0,1,1,2025-10-21,0.45,0
APP103666,25,Female,Karnataka,Salaried,42100.0,627,Business Expansion,147000.0,84,12.3,2619.0,1,1,2024-05-02,0.12,1
APP105954,48,Male,West Bengal,Salaried,46900.0,626,Personal,437000.0,60,14.81,10353.0,1,0,2025-12-22,0.44,0
APP104214,58,Female,Gujarat,Salaried,39500.0,738,Education,246000.0,48,12.6,6551.0,2,0,2024-05-18,0.5,0
APP105817,27,Male,Delhi,Self-Employed,12000.0,705,Medical,245000.0,24,11.97,11530.0,1,1,2024-06-25,1.92,0
APP102287,45,Male,Maharashtra,Business Owner,47400.0,622,Vehicle,138000.0,36,12.73,4632.0,1,2,2024-12-30,0.2,1
APP100718,41,Female,West Bengal,Business Owner,109400.0,698,Home Renovation,659000.0,84,12.79,11913.0,0,0,2025-05-09,0.11,0
APP101543,58,Female,Maharashtra,Business Owner,51300.0,621,Medical,326000.0,12,15.48,29498.0,0,5,2024-10-11,0.58,0
APP105160,37,Female,Tamil Nadu,Salaried,75100.0,613,Home Renovation,368000.0,84,12.32,6559.0,0,1,2024-03-08,0.09,0
APP102129,57,Male,Delhi,Salaried,52800.0,499,Home Renovation,243000.0,12,14.66,21894.0,3,2,2024-02-29,1.66,1
APP101420,52,Male,Karnataka,Self-Employed,35500.0,696,Vehicle,321000.0,24,12.98,15258.0,0,1,2024-04-30,0.43,0
APP100115,29,Male,West Bengal,Self-Employed,46600.0,870,Vehicle,234000.0,36,10.98,7659.0,1,1,2025-03-01,0.33,0
APP101921,48,Male,Uttar Pradesh,Salaried,64100.0,615,Personal,388000.0,84,14.83,7450.0,1,0,2025-04-15,0.23,1
APP100985,35,Male,Rajasthan,Business Owner,94700.0,597,Home Renovation,20000.0,36,13.77,681.0,1,1,2025-09-05,0.01,0
APP102513,41,Male,Uttar Pradesh,Self-Employed,36800.0,711,Personal,138000.0,48,11.93,3629.0,1,0,2024-04-29,0.2,0
APP101169,55,Female,Maharashtra,Salaried,35800.0,759,Medical,430000.0,24,11.37,20115.0,3,0,2024-11-21,2.25,1
APP103890,29,Female,Rajasthan,Self-Employed,12000.0,713,Education,135000.0,24,12.82,6407.0,1,0,2024-10-30,1.07,1
APP100521,57,Male,Punjab,Business Owner,48200.0,774,Personal,157000.0,24,9.86,7235.0,2,0,2024-10-21,0.45,0
APP105807,37,Male,Uttar Pradesh,Salaried,49700.0,798,Personal,353000.0,12,10.39,31098.0,1,1,2025-02-01,1.25,0
APP103359,28,Female,Delhi,Self-Employed,12000.0,725,Medical,20000.0,36,9.55,641.0,0,1,2024-12-09,0.05,1
APP103208,30,Female,Uttar Pradesh,Salaried,50900.0,808,Business Expansion,330000.0,24,12.08,15547.0,1,2,2025-11-02,0.61,0
APP100968,57,Male,Tamil Nadu,Salaried,45500.0,689,Home Renovation,225000.0,84,12.99,4092.0,0,0,2025-07-08,0.09,1
APP102626,44,Female,Tamil Nadu,Salaried,38100.0,714,Vehicle,334000.0,12,12.08,29688.0,1,0,2024-08-03,1.56,1
APP103830,53,Male,West Bengal,Self-Employed,,784,Education,548000.0,60,10.08,11665.0,1,2,2025-02-25,0.76,0
APP101181,29,Male,Tamil Nadu,Self-Employed,39100.0,640,Medical,350000.0,84,13.06,6379.0,2,1,2025-11-06,0.49,1
APP103307,52,Male,Karnataka,Salaried,,671,Business Expansion,237000.0,36,14.09,8110.0,2,1,2024-02-15,0.51,1
APP104310,51,Male,Punjab,Salaried,27200.0,723,Personal,209000.0,24,11.51,9791.0,2,0,2024-01-11,1.08,0
APP104080,41,Male,Gujarat,Salaried,50900.0,821,Business Expansion,357000.0,48,10.98,9223.0,4,0,2024-03-31,0.91,1
APP101342,31,Male,Uttar Pradesh,Business Owner,64200.0,738,Personal,171000.0,24,12.77,8111.0,2,0,2024-09-10,0.38,1
APP103480,40,Female,Punjab,Business Owner,36900.0,758,Education,129000.0,60,10.18,2752.0,1,0,2025-04-26,0.15,0
APP105722,52,Male,Delhi,Business Owner,56500.0,777,Education,56000.0,36,12.57,1875.0,0,1,2025-09-10,0.03,0
APP101542,53,Female,Punjab,Salaried,53700.0,559,Vehicle,255000.0,36,13.73,8682.0,1,1,2025-03-24,0.32,0
APP100121,59,Male,Punjab,Salaried,39800.0,616,Medical,188000.0,36,14.87,6505.0,1,3,2024-04-24,0.33,1
APP103387,51,Male,Punjab,Salaried,47900.0,718,Education,289000.0,84,11.14,4970.0,0,2,2025-11-27,0.1,0
APP103546,58,Male,Karnataka,Salaried,38700.0,709,Business Expansion,105000.0,12,13.07,9382.0,0,2,2025-02-18,0.24,0
APP105138,49,Male,Rajasthan,Salaried,42700.0,688,Education,315000.0,24,12.06,14837.0,1,1,2025-07-31,0.69,0
APP104902,48,Male,Maharashtra,Self-Employed,32000.0,670,Personal,529000.0,60,12.35,11861.0,2,3,2024-03-16,1.11,0
APP104537,32,Male,West Bengal,Business Owner,82200.0,625,Personal,301000.0,24,13.81,14425.0,2,3,2024-06-04,0.53,0
APP105198,59,Male,Punjab,Salaried,31000.0,585,Vehicle,27000.0,36,12.91,909.0,1,0,2025-11-09,0.06,0
APP100149,33,Female,West Bengal,Salaried,52600.0,628,Vehicle,332000.0,12,13.78,29775.0,1,3,2024-07-02,1.13,1
APP101523,29,Male,Delhi,Salaried,,571,Medical,200000.0,36,16.16,7047.0,0,0,2024-04-25,0.18,1
APP100596,53,Male,Karnataka,Self-Employed,24600.0,564,Personal,383000.0,48,15.54,10764.0,1,0,2025-02-06,0.88,1
APP102585,57,Female,Rajasthan,Business Owner,43800.0,680,Vehicle,346000.0,84,13.42,6374.0,1,0,2025-03-06,0.29,0
APP100008,31,Male,West Bengal,Business Owner,24600.0,763,Medical,375000.0,12,10.94,33133.0,0,0,2024-08-28,1.35,1
APP102389,56,Male,Telangana,Salaried,55400.0,669,Medical,449000.0,60,13.79,10399.0,1,1,2024-10-11,0.38,0
APP100117,35,Female,Telangana,Self-Employed,74700.0,653,Personal,184000.0,48,13.75,5005.0,1,3,2025-09-21,0.13,0
APP102572,22,Male,Telangana,Self-Employed,12000.0,651,Medical,407000.0,24,12.58,19269.0,1,0,2024-04-11,3.21,1
APP101644,54,Male,Karnataka,Salaried,59100.0,667,Personal,375000.0,24,13.03,17833.0,2,0,2024-03-25,0.91,1
APP101684,51,Male,Tamil Nadu,Self-Employed,82500.0,656,Business Expansion,218000.0,24,14.1,10477.0,0,2,2025-04-23,0.13,1
APP100510,29,Male,Rajasthan,Salaried,29400.0,616,Personal,217000.0,48,12.12,5727.0,1,2,2025-03-27,0.39,0
APP103242,51,Female,Punjab,Salaried,47800.0,732,Medical,274000.0,48,11.34,7127.0,1,0,2024-08-23,0.3,1
APP104227,31,Female,Rajasthan,Business Owner,27600.0,805,Home Renovation,211000.0,36,11.64,6972.0,1,0,2025-08-03,0.51,1
APP101592,40,Male,Karnataka,Self-Employed,22800.0,602,Medical,84000.0,12,14.5,7562.0,2,1,2024-04-26,1.0,1
APP102885,35,Male,Delhi,Salaried,54300.0,862,Personal,252000.0,84,10.72,4278.0,0,0,2024-08-15,0.08,0
APP105986,27,Female,Tamil Nadu,Salaried,57500.0,633,Vehicle,111000.0,48,12.07,2927.0,2,1,2024-04-04,0.15,1
APP104466,26,Male,Maharashtra,Salaried,54400.0,753,Home Renovation,178000.0,60,12.0,3960.0,1,0,2024-08-06,0.15,1
APP105903,31,Male,Maharashtra,Self-Employed,62100.0,693,Medical,285000.0,24,11.85,13396.0,1,0,2024-02-25,0.43,1
